pitch_angle,yaw_angle,distance
0.0,0.0,339
0.0,-0.9,340
0.0,-2.0,339
0.0,-3.1,338
0.0,-4.1,338
0.0,-5.1,338
0.0,-6.2,341
0.0,-7.0,341
0.0,-7.8,342
0.1,-8.8,341
0.1,-9.8,341
0.1,-10.9,344
0.2,-11.9,343
0.2,-12.9,346
0.2,-13.9,347
0.2,-14.9,349
0.2,-15.9,350
0.3,-16.9,353
0.3,-17.9,356
0.3,-18.9,359
0.3,-19.8,359
0.4,-20.9,364
0.4,-21.9,366
0.4,-22.9,366
0.5,-23.9,371
0.5,-24.9,375
0.5,-26.1,376
0.5,-27.2,380
0.5,-28.2,384
0.6,-28.9,388
0.6,-29.9,387
0.6,-31.0,396
0.6,-31.8,395
0.6,-32.8,402
0.6,-34.0,410
0.7,-34.9,410
0.7,-35.9,413
0.7,-36.9,421
0.7,-37.9,427
0.7,-38.9,413
0.7,-39.9,416
0.7,-40.9,423
0.8,-41.9,426
0.8,-42.9,434
0.8,-43.8,434
0.8,-44.9,441
0.8,-46.1,439
0.8,-46.8,437
0.8,-47.9,434
0.8,-48.9,430
0.8,-49.8,423
0.9,-50.9,416
0.9,-51.9,411
0.9,-52.9,405
0.9,-53.9,399
0.9,-54.9,397
0.9,-55.9,387
0.9,-56.9,386
0.9,-58.0,376
0.9,-58.9,373
0.9,-60.0,368
0.9,-61.0,363
0.9,-62.0,361
0.9,-62.9,357
0.9,-64.1,353
0.9,-65.0,349
0.9,-65.8,345
0.9,-67.1,342
0.9,-68.0,339
0.8,-69.0,336
0.8,-69.9,355
0.8,-71.0,347
0.8,-71.9,344
0.8,-72.7,341
0.8,-73.8,339
0.8,-74.9,335
0.8,-75.9,332
0.8,-76.9,331
0.8,-77.9,328
0.8,-78.8,327
0.8,-79.9,326
0.7,-80.9,323
0.7,-82.0,322
0.7,-83.0,321
0.7,-84.0,321
0.7,-85.0,320
0.7,-86.0,317
0.7,-86.8,315
0.6,-87.9,316
0.6,-88.9,314
0.7,-89.7,314
0.1,0.0,341
0.0,0.9,340
0.0,2.0,341
0.0,2.9,343
0.0,3.9,352
0.0,4.8,342
0.0,5.9,353
0.0,6.9,355
-0.1,7.9,345
-0.1,8.9,358
-0.2,9.7,358
-0.2,11.0,360
-0.3,12.0,364
-0.3,13.1,364
-0.3,14.2,366
-0.4,15.0,367
-0.4,15.8,369
-0.4,17.0,374
-0.4,18.0,375
-0.5,18.9,376
-0.5,19.9,379
-0.5,20.9,370
-0.6,21.9,384
-0.6,22.9,388
-0.6,23.9,391
-0.7,24.9,396
-0.7,25.9,398
-0.7,26.9,400
-0.8,27.9,407
-0.8,28.9,411
-0.8,29.8,417
-0.9,30.8,419
-0.9,31.9,431
-1.0,32.9,435
-1.0,33.9,435
-1.0,34.9,451
-1.0,36.0,458
-1.1,37.0,459
-1.1,38.0,458
-1.1,39.1,455
-1.1,40.0,451
-1.2,41.0,438
-1.2,41.9,432
-1.3,43.0,426
-1.3,43.9,408
-1.3,45.0,400
-1.3,45.9,396
-1.4,46.9,393
-1.4,48.0,385
-1.4,48.9,376
-1.5,49.8,372
-1.5,50.9,366
-1.6,52.0,364
-1.6,52.8,354
-1.6,53.8,350
-1.6,54.7,349
-1.7,55.8,342
-1.7,56.9,339
-1.7,57.8,337
-1.8,58.9,332
-1.8,60.1,331
-1.9,61.0,326
-1.9,62.0,323
-2.0,63.0,322
-2.0,64.0,320
-2.0,64.9,316
-2.0,66.0,314
-2.1,67.0,312
-2.1,68.0,310
-2.1,69.0,307
-2.1,69.9,305
-2.1,70.8,304
-2.2,71.9,303
-2.2,72.8,300
-2.3,73.5,298
-2.3,74.8,296
-2.3,75.9,295
-2.3,76.9,293
-2.3,77.9,291
-2.4,79.0,290
-2.4,80.0,287
-2.4,81.1,288
-2.4,82.0,285
-2.4,82.9,285
-2.5,84.0,286
-2.5,85.1,285
-2.5,86.1,285
-2.5,87.1,285
-2.6,88.1,285
-2.6,89.1,285
-2.6,90.0,285
