time_s,position_distance_m,tof_distance_mm
0.03,0.000,2363
0.14,0.000,2345
0.25,0.000,2345
0.36,0.002,2306
0.46,0.002,2306
0.57,0.052,2259
0.68,0.052,2259
0.79,0.074,2238
0.90,0.074,2238
1.01,0.106,2196
1.11,0.106,2196
1.22,0.116,2171
1.33,0.116,2171
1.44,0.154,2141
1.55,0.177,2111
1.66,0.177,2111
1.77,0.203,2089
1.88,0.203,2089
1.98,0.228,2062
2.09,0.228,2062
2.20,0.253,2027
2.31,0.253,2027
2.42,0.279,2004
2.53,0.279,2004
2.64,0.305,1970
2.75,0.305,1970
2.85,0.317,1944
2.97,0.342,1915
3.07,0.354,1915
3.18,0.386,1886
3.29,0.386,1886
3.40,0.410,1856
3.51,0.410,1856
3.62,0.424,1829
3.73,0.424,1829
3.84,0.449,1794
3.94,0.449,1794
4.05,0.485,1766
4.16,0.485,1766
4.27,0.497,1737
4.38,0.534,1737
4.49,0.534,1737
4.60,0.534,1737
4.71,0.560,1682
4.81,0.584,1648
4.92,0.596,1648
5.03,0.609,1623
5.14,0.609,1623
5.25,0.634,1598
5.35,0.634,1598
5.46,0.666,1568
5.57,0.666,1568
5.68,0.703,1537
5.79,0.703,1537
5.90,0.716,1511
6.01,0.716,1511
6.12,0.754,1481
6.23,0.754,1481
6.34,0.766,1453
6.44,0.791,1453
6.55,0.791,1428
6.66,0.816,1396
6.77,0.816,1396
6.88,0.841,1371
6.99,0.841,1371
7.09,0.867,1340
7.20,0.867,1340
7.31,0.904,1316
7.42,0.918,1287
7.53,0.930,1287
7.64,0.943,1256
7.75,0.943,1256
7.86,0.943,1256
7.96,0.968,1240
8.07,0.968,1240
8.18,1.006,1199
8.29,1.006,1199
8.40,1.031,1172
8.50,1.044,1143
8.61,1.057,1143
8.72,1.082,1114
8.83,1.082,1114
8.94,1.107,1086
9.05,1.107,1086
9.16,1.131,1058
9.26,1.131,1058
9.37,1.163,1030
9.48,1.163,1030
9.59,1.175,994
9.70,1.175,994
9.81,1.213,967
9.92,1.213,967
10.03,1.238,938
10.14,1.250,911
10.24,1.262,911
10.36,1.287,885
10.46,1.287,885
10.57,1.313,854
10.68,1.313,854
10.79,1.325,828
10.90,1.325,828
11.01,1.365,800
11.12,1.365,800
11.22,1.390,772
11.33,1.390,772
11.44,1.415,745
11.55,1.415,745
11.66,1.440,718
11.77,1.440,718
11.88,1.453,689
11.99,1.491,663
12.09,1.491,663
12.20,1.517,635
12.31,1.517,635
12.42,1.541,608
12.53,1.541,608
12.64,1.567,580
12.74,1.567,580
12.85,1.591,547
12.96,1.591,547
13.07,1.603,519
13.18,1.603,519
13.28,1.641,489
13.39,1.641,489
13.50,1.654,462
13.61,1.654,462
13.72,1.679,434
13.82,1.716,406
13.93,1.716,406
14.04,1.746,380
