Time (s),Distance (cm)
0.059877634048461914,35.6
0.13907265663146973,35.8
0.15971159934997559,35.9
0.3396131992340088,35.9
0.3787393569946289,35.8
0.5442430973052979,36.1
0.7488076686859131,36.1
0.9538881778717041,36.0
0.9551041126251221,36.0
0.9551041126251221,35.8
0.9551041126251221,35.9
0.9788045883178711,35.9
1.1334002017974854,36.0
1.1391654014587402,36.0
1.3640968799591064,36.1
1.3793678283691406,35.9
1.5681712627410889,36.0
1.5691728591918945,35.9
1.5793256759643555,36.0
1.7745192050933838,35.9
1.775669813156128,36.1
1.7995216846466064,35.9
1.978454828262329,36.0
1.9993822574615479,36.0
2.182913064956665,35.9
2.1949081420898438,35.8
2.3887710571289062,35.9
2.3899097442626953,36.0
2.5916168689727783,36.0
2.5928831100463867,36.0
2.594343900680542,36.1
2.6196866035461426,36.1
2.7975497245788574,35.9
2.819000244140625,36.1
3.0024805068969727,36.1
3.0024805068969727,36.0
3.0035274028778076,35.9
3.019451141357422,36.0
3.059673309326172,36.0
3.207618236541748,35.9
3.2086181640625,36.0
3.411853551864624,36.0
3.411853551864624,36.0
3.4188318252563477,36.0
3.6169919967651367,36.0
3.61800217628479,35.9
3.6190478801727295,36.0
3.820946455001831,36.0
3.822237968444824,35.8
3.822237968444824,36.0
3.8392295837402344,36.0
3.8796982765197754,36.0
4.039555072784424,36.0
4.041697263717651,36.1
4.04298734664917,36.0
4.230957269668579,35.9
4.230957269668579,35.9
4.240019083023071,36.0
4.436180830001831,36.0
4.440158367156982,35.9
4.640723943710327,36.0
4.659318447113037,35.9
4.699598550796509,36.0
4.860400915145874,36.0
4.899073362350464,36.1
5.05963397026062,36.1
5.060636281967163,36.1
5.099152326583862,36.1
5.259523868560791,36.1
5.299452066421509,36.1
5.4664599895477295,35.9
5.4664599895477295,36.0
5.664844274520874,36.1
5.665844202041626,36.1
5.681355714797974,36.1
5.699354648590088,36.0
5.869106292724609,36.0
5.870097875595093,36.0
5.870097875595093,36.0
6.0692455768585205,35.9
6.0692455768585205,36.0
6.0793137550354,36.1
6.282053232192993,36.0
6.300777435302734,36.1
6.319540500640869,36.1
