Time (s),Distance (cm)
0.05860710144042969,30.2
0.2027733325958252,30.2
0.21821093559265137,30.2
0.3978002071380615,30.1
0.39880943298339844,30.2
0.41826319694519043,30.2
0.602980375289917,30.3
0.6040103435516357,30.1
0.618114709854126,30.2
0.8102924823760986,30.2
0.8181025981903076,29.2
1.0093374252319336,30.1
1.0103354454040527,30.2
1.0183501243591309,30.2
1.2166128158569336,30.1
1.2178595066070557,30.2
1.2178595066070557,30.2
1.4218857288360596,30.2
1.4383437633514404,30.1
1.6279592514038086,29.1
1.8325200080871582,30.2
1.8337507247924805,29.3
1.8421485424041748,29.2
2.0240652561187744,29.2
2.0282251834869385,29.3
2.037971019744873,29.2
2.241893768310547,29.3
2.243933916091919,29.2
2.2584121227264404,30.2
2.44824481010437,29.3
2.4522573947906494,30.2
2.652118682861328,29.2
2.658102512359619,29.3
2.855365514755249,29.2
2.8563613891601562,30.1
2.858372688293457,29.2
3.0356154441833496,30.3
3.0371110439300537,29.2
3.058563470840454,30.3
3.266385316848755,30.1
3.267364501953125,29.1
3.278419017791748,30.2
3.47058367729187,29.2
3.4791908264160156,29.1
3.6753957271575928,30.2
3.676920175552368,29.2
3.676920175552368,30.2
3.7194416522979736,30.3
3.884718179702759,29.2
4.039990425109863,30.2
4.040996313095093,30.2
4.078507661819458,30.2
4.289381265640259,30.2
4.290367364883423,30.2
4.297836065292358,30.2
4.49429726600647,30.2
4.495401620864868,30.1
4.495401620864868,30.1
4.498779296875,30.2
4.698949575424194,30.2
4.7002177238464355,30.1
4.7002177238464355,30.2
4.718505382537842,29.2
4.738722085952759,30.2
4.904845237731934,30.1
4.905371427536011,30.3
4.907688856124878,30.2
5.054318189620972,30.2
5.119173765182495,30.2
5.313392877578735,30.2
5.314391374588013,30.2
5.338603734970093,30.3
5.518491983413696,30.1
5.519566297531128,30.2
5.538484334945679,30.2
5.7228922843933105,30.3
5.726558446884155,30.2
5.92954158782959,30.2
6.056254863739014,30.2
6.06056022644043,30.3
6.139165163040161,29.3
6.159064054489136,30.2
6.3373589515686035,29.2
6.338658571243286,29.2
6.358388900756836,30.3
6.542191743850708,29.2
6.542191743850708,30.3
6.543191432952881,30.2
6.558555841445923,29.3
6.748083829879761,30.2
6.951226711273193,30.3
6.952518701553345,30.3
6.952518701553345,30.2
6.978894472122192,30.2
7.078395843505859,30.3
7.1597959995269775,30.3
7.178218126296997,30.3
7.3612282276153564,30.3
7.362333536148071,29.3
7.378589391708374,30.3
7.567214727401733,30.2
7.568212985992432,30.2
7.5785298347473145,30.2
7.773879289627075,30.3
7.774878025054932,30.3
7.778531551361084,30.3
7.976317882537842,30.3
7.9773173332214355,30.3
7.978643178939819,30.3
8.098711252212524,30.3
8.099458456039429,30.2
8.200446605682373,30.3
8.384675025939941,30.2
8.38668417930603,30.3
8.38668417930603,29.2
8.399536371231079,30.2
8.58973217010498,30.2
8.598733901977539,30.2
8.79548168182373,30.2
8.798918008804321,30.3
9.000586032867432,30.3
9.00158166885376,30.3
9.01932692527771,30.3
9.058767318725586,30.3
9.204066753387451,30.2
9.218783378601074,30.3
9.409232139587402,30.2
9.414382696151733,30.3
9.415383338928223,29.2
9.614456415176392,30.2
9.618945837020874,30.2
9.819262981414795,30.2
9.824145555496216,30.2
9.84048318862915,30.2
10.024169445037842,30.1
10.025490760803223,30.2
