Time (s),Distance (cm)
0.2050151824951172,52.2
0.2059953212738037,52.6
0.41036057472229004,40.3
0.425382137298584,28.9
0.6136069297790527,52.6
0.6149377822875977,52.6
0.625328540802002,52.6
0.8201329708099365,48.6
0.8218417167663574,27.0
0.8250746726989746,44.3
1.019805669784546,51.9
1.020806074142456,52.3
1.025805950164795,52.4
1.2329363822937012,52.9
1.2453691959381104,53.0
1.2650127410888672,52.9
1.4334595203399658,53.0
1.638582468032837,53.0
1.6400010585784912,53.1
1.6400010585784912,53.1
1.8425438404083252,53.1
1.8435449600219727,53.1
1.8456058502197266,53.1
2.028303861618042,53.0
2.028303861618042,53.2
2.029594659805298,52.9
2.029594659805298,33.8
2.2523980140686035,32.2
2.2534844875335693,54.1
2.2651076316833496,53.6
2.4573049545288086,53.2
2.4582955837249756,28.0
2.4854044914245605,38.2
2.661721706390381,50.4
2.6629233360290527,52.4
2.6857404708862305,52.6
2.8672468662261963,52.7
2.8672468662261963,52.8
2.8893280029296875,52.8
3.0416903495788574,52.8
3.0416903495788574,53.0
3.0426905155181885,53.1
3.2763867378234863,53.1
3.2773897647857666,53.2
3.2773897647857666,53.2
3.2854559421539307,53.4
3.2854559421539307,53.5
3.4829347133636475,50.6
3.4829347133636475,50.6
3.4839344024658203,53.8
3.687293767929077,53.8
3.7055740356445312,53.6
3.8908493518829346,53.0
3.89227294921875,48.2
4.055827379226685,51.0
4.068053245544434,53.0
4.105863332748413,52.9
4.166144371032715,52.9
4.300343036651611,52.5
4.306344747543335,52.7
4.505718231201172,52.9
4.505718231201172,52.9
4.506776809692383,52.6
4.711421489715576,30.6
4.724924802780151,26.9
4.7469446659088135,52.8
4.914235591888428,52.8
4.915743112564087,52.8
5.065759181976318,53.0
5.085429668426514,40.7
5.0864293575286865,26.8
5.104801893234253,26.8
5.325087547302246,49.9
5.325087547302246,52.0
5.365523338317871,52.1
5.529836416244507,52.3
5.530462980270386,52.1
5.530462980270386,52.1
5.734179735183716,52.3
5.734684705734253,52.5
5.734684705734253,52.4
5.734684705734253,52.4
5.938607931137085,52.4
5.938607931137085,52.7
5.939589500427246,52.5
5.965124607086182,52.6
6.0851051807403564,51.8
6.125308275222778,32.0
6.348649501800537,27.1
6.3693389892578125,52.6
6.385774850845337,52.8
6.5532636642456055,52.9
6.566625595092773,43.7
6.758105516433716,51.5
6.784963369369507,51.6
6.844963312149048,51.4
6.885568141937256,51.1
6.96724009513855,51.2
6.985253572463989,51.4
7.095561981201172,51.9
7.105479717254639,51.9
7.1671130657196045,52.1
7.18583345413208,52.2
7.374547004699707,52.3
7.375613689422607,52.4
7.385655164718628,52.2
7.582154273986816,52.3
7.587038516998291,52.4
7.782121419906616,27.3
7.78575873374939,52.6
7.987617492675781,52.9
7.987617492675781,52.7
7.988452196121216,52.6
8.005593061447144,52.7
8.046021938323975,45.3
8.192232847213745,28.5
8.205278158187866,52.6
8.39759111404419,52.6
8.398526191711426,52.6
8.398526191711426,52.8
8.404924631118774,52.8
8.60086464881897,52.8
8.605582475662231,52.8
8.80863904953003,52.5
8.809442043304443,52.7
8.826058864593506,52.5
9.01071810722351,52.6
9.01071810722351,52.8
9.011740922927856,52.8
9.12583875656128,52.8
9.225549936294556,52.5
9.421399354934692,26.3
9.425913333892822,52.5
9.625129222869873,52.6
9.626129150390625,52.5
9.83069133758545,52.5
9.83069133758545,25.7
9.84604024887085,46.0
9.866063117980957,50.4
10.046003103256226,52.2
10.12988567352295,52.4
10.147488117218018,52.2
